leftId,leftName,leftType,rightId,rightName,rightType,leftArea,rightArea,intersectionArea,normalizedFractionOfLeftInRight,fractionOfRightInLeft
62ff047f9612f003262eafb9,Airport,NEIGHBORHOOD,6390eb9d4d6bc53360853be4,95822,ZIPCODE,"3,453,323","22,561,651","3,453,323",100.00%,15.31%
63a0c587f6320e88cb02eb20,Alamo Square,NEIGHBORHOOD,63a0c58df6320e88cb02eb55,94102,ZIPCODE,"401,742","1,722,834","10,019",2.49%,0.58%
63a0c587f6320e88cb02eb20,Alamo Square,NEIGHBORHOOD,63a0c58ef6320e88cb02eb5b,94115,ZIPCODE,"401,742","2,933,704","83,285",20.73%,2.84%
63a0c587f6320e88cb02eb20,Alamo Square,NEIGHBORHOOD,63a0c58ef6320e88cb02eb64,94117,ZIPCODE,"401,742","3,353,590","308,438",76.78%,9.20%
63a0c5a0f6320e88cb02ebed,Alder Manor,NEIGHBORHOOD,63a0c5aef6320e88cb02ec30,94062,ZIPCODE,"1,831,984","170,374,960","128,957",7.04%,0.08%
63a0c5a0f6320e88cb02ebed,Alder Manor,NEIGHBORHOOD,63a0c5b2f6320e88cb02ec45,94070,ZIPCODE,"1,831,984","15,851,010","1,703,028",92.96%,10.74%
62ff047e9612f003262eaf9b,Alhambra Triangle,NEIGHBORHOOD,6390eb9d4d6bc53360853bdf,95816,ZIPCODE,"360,425","7,246,552","253,117",70.23%,3.49%
62ff047e9612f003262eaf9b,Alhambra Triangle,NEIGHBORHOOD,6390eb9d4d6bc53360853be0,95817,ZIPCODE,"360,425","5,717,629","107,308",29.77%,1.88%
62ff047e9612f003262eaf89,Alkali Flat,NEIGHBORHOOD,6390eb9d4d6bc53360853bdd,95814,ZIPCODE,"361,757","3,352,413","361,740",100.00%,10.79%
63a0c593f6320e88cb02eb77,Allied Arts,NEIGHBORHOOD,63a0c5b4f6320e88cb02ec4a,94025,ZIPCODE,"507,637","21,642,287","503,082",100.00%,2.32%
63a0c562f6320e88cb02ea5f,Almonte,NEIGHBORHOOD,63a0c579f6320e88cb02eabd,94941,ZIPCODE,"844,485","100,863,785","844,485",100.00%,0.84%
63a0c562f6320e88cb02ea60,Alto Sutton Manor,NEIGHBORHOOD,63a0c579f6320e88cb02eabd,94941,ZIPCODE,"283,269","100,863,785","283,269",100.00%,0.28%
62ff047e9612f003262eaf81,American River Parkway,NEIGHBORHOOD,6390eb9d4d6bc53360853bdc,95811,ZIPCODE,"4,230,724","7,136,948","270,433",6.40%,3.79%
62ff047e9612f003262eaf81,American River Parkway,NEIGHBORHOOD,6390eb9d4d6bc53360853bde,95815,ZIPCODE,"4,230,724","19,243,879","1,845,016",43.68%,9.59%
62ff047e9612f003262eaf81,American River Parkway,NEIGHBORHOOD,6390eb9d4d6bc53360853bdf,95816,ZIPCODE,"4,230,724","7,246,552","177,635",4.21%,2.45%
62ff047e9612f003262eaf81,American River Parkway,NEIGHBORHOOD,6390eb9d4d6bc53360853bed,95833,ZIPCODE,"4,230,724","22,622,831","1,930,751",45.71%,8.53%
